"stn","lon_o","lat_o","ele","lon_l","lat_l","dist","dii","yii","xii"
9,127.4312,36.99194,180.95,127.424,36.9906,0.00732363297823972,173820,340,252
10,126.5329,33.361,1909,126.529,33.3566,0.00587962583843432,38090,75,202
12,126.3167,36.5333,60,126.315,36.5307,0.00310644491339652,156348,306,188
13,126.2,33.2833,51.9,126.202,33.2895,0.00651459898995927,35510,70,182
90,128.56472,38.25085,18.06,128.565,38.2553,0.00445880028707149,221499,433,315
92,128.6667,38.0667,75.4,128.663,38.0726,0.00696419413858522,214849,420,321
93,127.7547,37.9475,95.61,127.762,37.9536,0.00951314879522307,209678,410,270
95,127.3042,38.14788,155.48,127.31,38.1544,0.0087264196552833,216820,424,244
96,131.86983,37.23952,96.15,131.864,37.2445,0.00766741807912346,189435,370,507
98,127.06069,37.90186,115.62,127.059,37.908,0.00636833573235683,207590,406,230
99,126.76649,37.88588,30.59,126.76,37.883,0.00710031689433497,206549,404,213
100,128.71833,37.67713,772.57,128.717,37.6833,0.00631171925865242,200517,392,325
101,127.7357,37.90256,76.47,127.743,37.8986,0.00830491420786545,207629,406,269
102,124.63046,37.96611,36,124.636,37.9598,0.00839688632767817,209500,410,92
104,128.8554,37.8046,78.9,128.862,37.8039,0.00663701740241002,205133,401,333
105,128.89098,37.75147,26.04,128.895,37.7476,0.0055800806445758,203087,397,335
106,129.12433,37.50708,39.91,129.128,37.5052,0.00412350578997978,194397,380,349
108,126.96579,37.57141,85.67,126.966,37.5768,0.00539408935780466,195297,382,225
110,126.7756,37.5683,11.38,126.774,37.5646,0.00403112887414966,194774,381,214
112,126.6249,37.4777,68.99,126.616,37.4827,0.0102083299319709,191693,375,205
113,126.4392,37.4625,7.1,126.442,37.4559,0.00716937933157034,190659,373,195
114,127.9466,37.3376,148.6,127.954,37.3411,0.00818596359629199,187162,366,282
115,130.89864,37.48129,222.8,130.907,37.4759,0.00994694425440077,196035,383,451
116,126.96401,37.44525,624.82,126.964,37.4384,0.00685000729926621,190177,372,225
119,126.9853,37.2723,34.84,126.979,37.2723,0.00629999999999598,184034,360,226
121,128.45743,37.18126,240.6,128.453,37.178,0.00550022726802237,181559,355,311
127,127.95266,36.97038,116.3,127.96,36.9677,0.00781396186322778,173339,339,283
129,126.49391,36.77661,28.91,126.489,36.7785,0.00526119758229678,165574,324,198
130,129.41278,36.99176,50,129.415,36.9978,0.00643506021727523,175983,344,367
131,127.44066,36.63924,57.16,127.434,36.6451,0.00887103150709858,161021,315,253
133,127.37212,36.372,68.94,127.376,36.3699,0.0044118476855018,150778,295,250
135,127.99457,36.22023,243.7,127.989,36.2216,0.00573600906553596,145694,285,286
136,128.70732,36.57293,140.1,128.705,36.5773,0.00494765601067834,159559,312,327
137,128.15743,36.40838,96.17,128.149,36.4114,0.00895462450357725,152871,299,295
138,129.37963,36.03259,3.94,129.381,36.0321,0.00145499140891711,140144,274,368
140,126.76135,36.0053,23.2,126.755,36.0043,0.00642825792886108,136918,268,214
143,128.6522,35.828233,53.5,128.657,35.8337,0.00727516934512168,131910,258,326
146,127.119,35.8408,61.4,127.127,35.8354,0.00965194280960816,130796,256,236
151,129.3522222,35.59333333,12.6,129.358,35.5918,0.0059777984014979,123760,242,368
152,129.3344,35.5826,83.2,129.341,35.5786,0.00771751255264597,123247,241,367
155,128.57285,35.1702,37.6,128.58,35.1748,0.00850191154978177,107331,210,323
156,126.89158,35.17294,72.38,126.897,35.1772,0.00689376529916908,106207,208,223
159,129.03203,35.10468,69.56,129.031,35.1069,0.0024473046397979,105310,206,350
160,128.99996,35.11881,518.46,128.998,35.1217,0.00349194788047456,105820,207,348
162,128.4356,34.84546,32.3,128.433,34.8487,0.00415422676318871,95035,186,315
163,126.3830556,34.99138888,10.9,126.375,34.9882,0.00866381249880875,99008,194,192
165,126.38121,34.81689,38,126.374,34.8233,0.00964739343035415,92864,182,192
167,127.6125,34.84666667,17.9,127.613,34.8519,0.00525716110547632,94474,185,266
168,127.74064,34.73929,64.64,127.744,34.7398,0.00339848495656673,90386,177,274
169,125.45103,34.68719,76.49,125.455,34.6852,0.00444083325514034,87689,172,137
170,126.70184,34.39587,35.24,126.704,34.3961,0.00217221085531569,77012,151,212
172,126.599,35.3489,52,126.596,35.3445,0.00532541078228107,112333,220,205
174,127.3694,35.0204,165,127.365,35.0206,0.00440454310911298,100603,197,251
175,126.32379,34.47212,478.51,126.322,34.4667,0.00570793307598569,79549,156,189
177,126.68766,36.65745,20,126.694,36.653,0.0077458440469775,160978,315,210
182,126.5,33.51666667,26.5,126.498,33.5208,0.00459177709486179,44232,87,200
184,126.52968,33.51411,20.45,126.531,33.5207,0.00672090023731649,44234,87,202
185,126.16283,33.29382,71.47,126.169,33.2896,0.00747511203928999,35508,70,180
188,126.88021,33.38678,20.34,126.873,33.3814,0.00899602690080651,39135,77,223
189,126.56534,33.24613,49.03,126.561,33.2471,0.00444707769214762,33996,67,204
192,128.04002,35.16379,30.21,128.041,35.1601,0.0038179182809469,106275,208,291
201,126.44634,37.70739,47.84,126.443,37.7049,0.004166017282733,199875,391,195
202,127.49447,37.48857,47.26,127.488,37.4874,0.00657493726206562,192255,376,255
203,127.4842,37.26398,80.09,127.483,37.2662,0.00252356890137732,184063,360,255
211,128.16713,38.05987,200.16,128.17,38.0566,0.00435083899954545,213797,418,293
212,127.8804,37.68358,139.95,127.877,37.6885,0.00598050165119779,199957,391,277
216,128.98928,37.17031,712.82,128.99,37.1635,0.00684795589939236,181590,355,342
217,128.6461,37.3813,307.4,128.652,37.3805,0.00595399025863932,189250,370,322
221,128.19431,37.15927,259.8,128.191,37.1564,0.00438098162516143,180520,353,296
226,127.73412,36.48759,174.99,127.74,36.4884,0.00593552862008862,155407,304,271
229,125.55951,36.62542,103.56,125.559,36.6268,0.00147122398023495,159888,313,144
232,127.2926972,36.7624,81.5,127.299,36.7574,0.0080452027842702,165109,323,245
235,126.55741,36.32721,15.49,126.554,36.3227,0.0056540428013985,148682,291,202
236,126.92081,36.27236,11.33,126.913,36.2787,0.0100594085313262,147167,288,223
238,127.48175,36.10562,170.35,127.49,36.1062,0.0082703627489868,141057,276,257
243,126.71655,35.72954,11.96,126.718,35.7291,0.00151528875136517,126676,248,212
244,127.28556,35.61227,247.04,127.293,35.613,0.00747572738936045,122614,240,246
245,126.83917,35.56306,69.84,126.835,35.5629,0.00417306841544888,120539,236,219
247,127.3967,35.4023,132.5,127.39,35.4053,0.0073409808608887,114940,225,252
248,127.52029,35.65695,406.49,127.514,35.6512,0.00852212414836096,124163,243,259
251,126.697,35.4266,54,126.698,35.4264,0.00101980390270921,115411,226,211
252,126.47779,35.283671,37.2,126.478,35.2901,0.00643242885697562,110278,216,198
253,128.89301,35.22666,59.34,128.885,35.2214,0.00958267707899028,109397,214,341
254,127.1286,35.3714,127,127.136,35.3673,0.00845990543681541,113389,222,237
255,128.6725,35.2264,48.8,128.666,35.2276,0.00660984114788162,109384,214,328
257,129.02,35.3072,14.85,129.024,35.3135,0.00746257328271386,112989,221,349
258,127.2123,34.7633,2.8,127.209,34.7616,0.00371214223865025,90866,178,242
259,126.7689,34.6261,12.5,126.773,34.6288,0.00490917508344691,85720,168,216
260,126.91949,34.68875,45.02,126.924,34.6824,0.00778861990342732,87777,172,225
261,126.56897,34.55359,16.36,126.572,34.5478,0.00653490627323986,82636,162,204
262,127.27571,34.61824,51.91,127.273,34.6235,0.00591706853095678,85750,168,246
263,128.2881,35.3226,14.18,128.282,35.3198,0.00671192967779757,112433,220,305
264,127.7454,35.5114,151.2,127.747,35.5097,0.0023345235059829,119057,233,273
